100,6608,135.00,136,4
50,562460,114.00,157,4
51,42268,34.92,39,82
52,0,-nan,60,1
53,55183,842.00,843,10
54,7904157,6.25,886,22
55,699187,84.31,98,190
56,661900,110.44,119,382
57,3209263,395.69,478,190
58,0,-nan,387,1
59,16474247,339.67,359,766
60,20667763,117.46,389,766
61,2805424,431.50,580,94
62,145619,804.00,811,22
63,2086478,139.00,312,46
64,33871514,49.31,525,766
65,4452981,168.00,537,10
66,372954,153.50,156,574
67,1757307,6.75,81,46
68,227623319,299.38,954,190
69,34937,340.50,342,10
70,705203,216.56,225,190
71,409350,392.25,407,46
72,4896153,280.33,326,382
73,318763526,8.00,478,190
74,452092,2.00,148,4
75,344132842,7.00,317,46
76,0,-nan,583,4
77,619750,878.38,883,94
78,29063541,26.62,380,46
79,9422,78.00,86,4
80,3366040,514.44,553,94
81,1504905,680.60,682,361
82,2988235743,6.06,993,766
83,217950167,2.00,685,46
84,2194569,269.72,280,382
85,309810,229.00,264,10
86,2795195,60.25,566,22
87,395744,38.09,46,577
88,233315569,45.00,897,46
89,4211366292,9.81,769,94
90,4278140,69.50,434,46
91,2115145,839.12,869,46
92,0,-nan,330,1
93,1788416,546.19,550,382
94,8897474,7.05,317,382
95,3694280211,108.47,632,190
96,474524640,383.75,1010,46
97,9325755558,7.33,755,382
98,920443,713.62,742,94
99,411688,20.25,51,22
