gameF100: 6608,135.00,136,4
gameF50: 562460,114.00,157,4
gameF51: 42268,34.92,39,82
gameF52: 0,-nan,60,1
gameF53: 55183,842.00,843,10
gameF54: 7904157,6.25,886,22
gameF55: 699187,84.31,98,190
gameF56: 661900,110.44,119,382
gameF57: 3209263,395.69,478,190
gameF58: 0,-nan,387,1
gameF59: 16474247,339.67,359,766
gameF60: 20667763,117.46,389,766
gameF61: 2805424,431.50,580,94
gameF62: 145619,804.00,811,22
gameF63: 2086478,139.00,312,46
gameF64: 33871514,49.31,525,766
gameF65: 4452981,168.00,537,10
gameF66: 372954,153.50,156,574
gameF67: 1757307,6.75,81,46
gameF68: 227623319,299.38,954,190
gameF69: 34937,340.50,342,10
gameF70: 705203,216.56,225,190
gameF71: 409350,392.25,407,46
gameF72: 4896153,280.33,326,382
gameF73: 318763526,8.00,478,190
gameF74: 452092,2.00,148,4
gameF75: 344132842,7.00,317,46
gameF76: 0,-nan,583,4
gameF77: 619750,878.38,883,94
gameF78: 29063541,26.62,380,46
gameF79: 9422,78.00,86,4
gameF80: 3366040,514.44,553,94
gameF81: 1504905,680.60,682,361
gameF82: 2988235743,6.06,993,766
gameF83: 217950167,2.00,685,46
gameF84: 2194569,269.72,280,382
gameF85: 309810,229.00,264,10
gameF86: 2795195,60.25,566,22
gameF87: 395744,38.09,46,577
gameF88: 233315569,45.00,897,46
gameF89: 4211366292,9.81,769,94
gameF90: 4278140,69.50,434,46
gameF91: 2115145,839.12,869,46
gameF92: 0,-nan,330,1
gameF93: 1788416,546.19,550,382
gameF94: 8897474,7.05,317,382
gameF95: 3694280211,108.47,632,190
gameF96: 474524640,383.75,1010,46
gameF97: 9325755558,7.33,755,382
gameF98: 920443,713.62,742,94
gameF99: 411688,20.25,51,22
